scenario_name,climate_type,timestep,count,nci_mean,nci_std,nci_delta_prev_mean,nci_delta_from_start_mean
influenza_a,negative_leaning,1,3,4.0,0.0,,0.0
influenza_a,positive_leaning,1,3,0.0,0.0,,0.0
mycoplasma_pneumonia,negative_leaning,1,3,2.3333333333333335,2.0816659994661326,,0.0
mycoplasma_pneumonia,positive_leaning,1,3,0.0,0.0,,0.0
